NAME                                                                       USED  AVAIL  REFER  MOUNTPOINT
Pool/HoneywellRSync@auto-20170708.1342-2m                                    1K      -   246G  -
Pool/HoneywellRSync@auto-20170715.1342-2m                                    1K      -   246G  -
Pool/HoneywellRSync@auto-20170722.1342-2m                                    1K      -   246G  -
Pool/HoneywellRSync@syncoid_C60M1_2017-07-30:10:17:30                       31K      -   246G  -
Pool/HoneywellVMs@March2017                                               2.00M      -   656G  -
Pool/HoneywellVMs@auto-20170422.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170429.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@syncoid_FRACTAL_2017-05-01:19:08:50                        1K      -   656G  -
Pool/HoneywellVMs@auto-20170506.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170513.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170520.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170527.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170603.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170610.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170617.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170624.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170701.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170708.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170715.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@auto-20170722.1341-12m                                     1K      -   656G  -
Pool/HoneywellVMs@syncoid_C60M1_2017-07-30:10:17:32                         25K      -   656G  -
Pool/Software@Send_February_Initial                                       2.03M      -  53.1G  -
Pool/Software@auto-20170429.0900-3m                                       1.64M      -  53.1G  -
Pool/Software@syncoid_FRACTAL_2017-05-01:19:08:25                            1K      -  53.1G  -
Pool/Software@syncoid_KVM1_2017-05-01:19:08:32                               1K      -  53.1G  -
Pool/Software@auto-20170506.0900-3m                                          1K      -  53.1G  -
Pool/Software@auto-20170513.0900-3m                                       1.60M      -  53.1G  -
Pool/Software@auto-20170520.0900-3m                                          1K      -  53.1G  -
Pool/Software@auto-20170527.0900-3m                                          1K      -  53.1G  -
Pool/Software@auto-20170603.0900-3m                                       1.59M      -  53.1G  -
Pool/Software@auto-20170610.0900-3m                                         52K      -  53.1G  -
Pool/Software@auto-20170617.0900-3m                                        206K      -  61.5G  -
Pool/Software@auto-20170624.0900-3m                                        121K      -  61.5G  -
Pool/Software@auto-20170701.0900-3m                                       82.3M      -  61.6G  -
Pool/Software@auto-20170708.0900-3m                                        123K      -  61.9G  -
Pool/Software@auto-20170715.0900-3m                                         50K      -  61.9G  -
Pool/Software@auto-20170722.0900-3m                                          1K      -  61.9G  -
Pool/Software@auto-20170729.0900-3m                                          1K      -  61.9G  -
Pool/Software@syncoid_C60M1_2017-07-30:10:17:40                               0      -  61.9G  -
Pool/computers@syncoid_FRACTAL_2017-07-29:14:20:58                           9K      -    19K  -
Pool/computers@syncoid_C60M1_2017-07-30:10:17:51                             9K      -    19K  -
Pool/computers/storage@syncoid_FRACTAL_2017-07-29:14:21:00                   1K      -    19K  -
Pool/computers/storage@syncoid_C60M1_2017-07-30:10:17:53                     1K      -    19K  -
Pool/computers/storage/cabinet@zfs-auto-snap_daily-2017-02-21-1225        4.15M      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_daily-2017-03-19-1225           1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_weekly-2017-03-19-1247          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_daily-2017-03-20-1225           1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-20-1517          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-20-1617          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-20-1717          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-20-1817          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-20-1917          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-20-2017          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-20-2117          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-20-2217          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-20-2317          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-0017          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-0117          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-0217          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-0317          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-0417          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-0517          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-0617          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-0717          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-0817          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-0917          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-1017          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-1117          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-03-21-1217          1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_daily-2017-03-21-1225           1K      -  6.95G  -
Pool/computers/storage/cabinet@zfs-auto-snap_hourly-2017-04-20-1517          1K      -  6.95G  -
